UserID,Birthday,ZodiacSign,Gender,FavoriteProduct,FavoriteCategory,SecondFavoriteProduct,StreamingServices,Gambling,FavoriteStore,Travel,Email
18,1983-07-13,Cancer,Male,Cerveza Corona,Cervezas,Gatorade de Naranja,Yes,No,Puebla,No,pgnbfoeq@sample.com
19,1988-08-28,Virgo,Female,Cerveza Corona,Refrescos,Café Andatti,Yes,Yes,Monterrey,Yes,lxrcgbvb@sample.com
20,1960-06-14,Gemini,Female,Cerveza Tecate Roja,Pan Dulce,Cigarros,Yes,No,Cancún,No,bdieosck@sample.com
21,1949-10-28,Scorpio,Other,Café Andatti,Cervezas,Cerveza Corona,Yes,Yes,Guadalajara,No,thxtsxze@sample.com
22,1976-10-21,Libra,Female,Café Andatti,Café Americano,Coca Cola,No,Yes,Cuernavaca,Yes,nyfkpshm@sample.com
23,2002-07-16,Cancer,Male,Coca Cola,Refrescos,Coca Cola,No,No,Cuernavaca,No,kygemjbj@sample.com
24,2006-11-26,Sagittarius,Male,Café Andatti,Cervezas,Chocolate Crunch,Yes,Yes,Cuernavaca,Yes,lwfxjyev@sample.com
25,1971-01-22,Aquarius,Female,Ruffles de Queso,Frituras,Coca Cola,Yes,Yes,Tijuana,No,dwswxyob@sample.com
26,1946-09-04,Virgo,Male,Cerveza Tecate Roja,Chocolates,Ruffles de Queso,No,No,CDMX,Yes,edurcquz@sample.com
27,1989-12-06,Sagittarius,Male,Coca Cola,Cervezas,Coca Cola,Yes,No,CDMX,Yes,gdwudjnk@sample.com
28,1948-10-06,Libra,Male,Gatorade de Naranja,Cervezas,Cigarros,Yes,Yes,CDMX,No,tvbqnbio@sample.com
29,1979-07-13,Cancer,Male,Ruffles de Queso,Frituras,Cerveza Corona,Yes,Yes,Guadalajara,No,ozdxihcj@sample.com
30,2005-11-19,Scorpio,Female,Café Andatti,Chocolates,Coca Cola,Yes,No,Cuernavaca,Yes,dxkxigmx@sample.com
31,1969-11-27,Sagittarius,Female,Cerveza Corona,Frituras,Chocolate Crunch,No,Yes,CDMX,No,btepeckg@sample.com
32,1946-06-29,Cancer,Female,Coca Cola,Galletas,Cerveza Corona,Yes,No,Guadalajara,Yes,wfxrnxkh@sample.com
33,1960-03-14,Pisces,Male,Gatorade de Naranja,Chocolates,Chocolate Crunch,No,Yes,Guadalajara,Yes,choyzttb@sample.com
34,1985-10-02,Libra,Other,Cerveza Tecate Roja,Refrescos,Ruffles de Queso,No,No,Cancún,Yes,uspwxlru@sample.com
35,1994-06-02,Gemini,Male,Coca Cola,Bebidas isotónicas,Café Andatti,No,No,Monterrey,Yes,vnbbttky@sample.com
36,1959-07-09,Cancer,Male,Coca Cola,Chocolates,Coca Cola,No,No,Puebla,No,poffztpf@sample.com
37,1970-07-01,Cancer,Female,Cerveza Victoria,Chocolates,Cerveza Corona,Yes,No,Monterrey,No,vxwfbrth@sample.com
38,1970-12-08,Sagittarius,Male,Coca Cola,Cervezas,Cerveza Tecate Roja,No,Yes,Monterrey,No,ojgnbnji@sample.com
39,1986-11-22,Sagittarius,Other,Ruffles de Queso,Cervezas,Cerveza Tecate Roja,No,No,CDMX,No,gcnconeb@sample.com
40,1945-11-10,Scorpio,Other,Gatorade de Naranja,Pan Dulce,Coca Cola,Yes,Yes,Guadalajara,No,kjojabjk@sample.com
41,1987-11-12,Scorpio,Female,Galletas Emperador,Refrescos,Chocolate Crunch,No,No,Monterrey,Yes,ohsposcm@sample.com
42,1964-03-28,Aries,Male,Chocolate Crunch,Café Americano,Galletas Oreo,No,No,Monterrey,No,dskayzkk@sample.com
43,1946-03-26,Aries,Female,Coca Cola,Café Americano,Cerveza Victoria,No,Yes,Guadalajara,Yes,kcbymctr@sample.com
44,1955-07-04,Cancer,Female,Café Andatti,Frituras,Gatorade de Naranja,No,Yes,Cuernavaca,Yes,lbgxfxha@sample.com
45,1992-03-30,Aries,Male,Galletas Oreo,Frituras,Cerveza Corona,No,Yes,Guadalajara,Yes,phnaohlp@sample.com
46,1982-11-13,Scorpio,Female,Coca Cola,Bebidas isotónicas,Cigarros,No,Yes,Cancún,Yes,djpumgqp@sample.com
47,2006-02-03,Aquarius,Female,Gatorade de Naranja,Galletas,Ruffles de Queso,No,No,Guadalajara,No,rgagkxvb@sample.com
48,1976-08-27,Virgo,Other,Cerveza Tecate Roja,Café Americano,Gatorade de Naranja,Yes,Yes,Monterrey,Yes,xmnzqoey@sample.com
49,1945-03-14,Pisces,Female,Galletas Oreo,Cervezas,Galletas Emperador,No,Yes,Monterrey,No,bhdrjxok@sample.com
50,1966-12-04,Sagittarius,Other,Cerveza Victoria,Galletas,Cerveza Victoria,No,Yes,Guadalajara,Yes,ychtkshd@sample.com
51,1973-05-08,Taurus,Female,Ruffles de Queso,Refrescos,Chocolate Crunch,Yes,No,Tijuana,No,cvxxqsch@sample.com
52,1945-08-23,Virgo,Female,Cerveza Victoria,Pan Dulce,Galletas Emperador,No,Yes,Monterrey,Yes,jtqtdxva@sample.com
53,1954-06-06,Gemini,Male,Cerveza Victoria,Café Americano,Cerveza Victoria,Yes,Yes,Guadalajara,No,ezbflvxx@sample.com
54,1969-12-18,Sagittarius,Male,Ruffles de Queso,Pan Dulce,Cerveza Tecate Roja,Yes,No,Guadalajara,No,hkpiquxc@sample.com
55,1969-12-17,Sagittarius,Other,Cerveza Victoria,Chocolates,Ruffles de Queso,Yes,No,Guadalajara,No,kjgaguwt@sample.com
56,1950-02-13,Aquarius,Female,Chocolate Crunch,Bebidas isotónicas,Coca Cola,No,Yes,Tijuana,Yes,cnjffccs@sample.com
57,1966-02-24,Pisces,Female,Chocolate Crunch,Café Americano,Galletas Oreo,Yes,No,Cancún,Yes,breggsrf@sample.com
58,1956-12-27,Capricorn,Male,Cerveza Tecate Roja,Refrescos,Cerveza Victoria,Yes,Yes,CDMX,No,qvcrxqxp@sample.com
59,1993-05-31,Gemini,Other,Coca Cola,Refrescos,Cerveza Tecate Roja,No,Yes,Monterrey,Yes,ipbimnuh@sample.com
60,1993-07-10,Cancer,Male,Galletas Emperador,Chocolates,Galletas Emperador,Yes,Yes,Guadalajara,No,bajiyeql@sample.com
61,1999-11-07,Scorpio,Female,Cigarros,Frituras,Galletas Emperador,No,No,Tijuana,No,bntofnhe@sample.com
62,1947-08-09,Leo,Male,Cerveza Tecate Roja,Frituras,Gatorade de Naranja,Yes,Yes,Cancún,No,gbokmzrq@sample.com
63,1960-09-16,Virgo,Male,Coca Cola,Cervezas,Cerveza Tecate Roja,Yes,No,Monterrey,No,jzndhpym@sample.com
64,1983-01-12,Capricorn,Female,Galletas Emperador,Cervezas,Coca Cola,No,Yes,Tijuana,Yes,najrsanh@sample.com
65,1952-02-13,Aquarius,Male,Café Andatti,Chocolates,Coca Cola,Yes,Yes,Cancún,Yes,fduduzgo@sample.com
66,1960-01-02,Capricorn,Male,Gatorade de Naranja,Cervezas,Cerveza Victoria,No,Yes,Guadalajara,No,bpxczxuo@sample.com
67,1991-12-12,Sagittarius,Other,Cerveza Tecate Roja,Pan Dulce,Galletas Emperador,Yes,Yes,CDMX,No,qgctaqao@sample.com
68,1986-09-13,Virgo,Other,Galletas Oreo,Cervezas,Cerveza Corona,No,No,Cancún,Yes,hpiswzsp@sample.com
69,1990-09-26,Libra,Other,Café Andatti,Chocolates,Gatorade de Naranja,Yes,Yes,CDMX,No,bkbwnheu@sample.com
70,1957-01-17,Capricorn,Female,Gatorade de Naranja,Galletas,Cerveza Corona,No,No,Monterrey,Yes,nmpljdhd@sample.com
71,1983-08-06,Leo,Other,Cerveza Victoria,Pan Dulce,Cerveza Tecate Roja,Yes,Yes,Guadalajara,Yes,ydvzesmq@sample.com
72,1961-05-31,Gemini,Other,Coca Cola,Pan Dulce,Coca Cola,Yes,No,Guadalajara,No,skzsdqng@sample.com
73,1989-11-02,Scorpio,Female,Ruffles de Queso,Pan Dulce,Cerveza Tecate Roja,No,No,Monterrey,No,pstxgauv@sample.com
74,1991-07-22,Cancer,Male,Galletas Emperador,Café Americano,Cerveza Victoria,No,No,Monterrey,Yes,vwwcxpgd@sample.com
75,1954-12-31,Capricorn,Male,Chocolate Crunch,Frituras,Cerveza Victoria,Yes,No,Cancún,Yes,rnvxxdrj@sample.com
76,1969-09-05,Virgo,Female,Ruffles de Queso,Cervezas,Cerveza Victoria,Yes,Yes,Guadalajara,Yes,pgwrjydm@sample.com
77,1993-12-08,Sagittarius,Male,Cerveza Tecate Roja,Refrescos,Gatorade de Naranja,Yes,Yes,Cuernavaca,No,hzabeoiw@sample.com
78,1981-12-21,Sagittarius,Other,Galletas Oreo,Refrescos,Cigarros,No,Yes,Monterrey,No,tlawyzpa@sample.com
79,1967-10-11,Libra,Male,Chocolate Crunch,Chocolates,Cerveza Corona,Yes,Yes,Puebla,Yes,trdenojr@sample.com
80,1985-08-09,Leo,Other,Galletas Emperador,Chocolates,Chocolate Crunch,No,Yes,Monterrey,No,ontptmaz@sample.com
81,2000-03-08,Pisces,Female,Gatorade de Naranja,Refrescos,Cerveza Tecate Roja,No,No,Puebla,Yes,esbwvsnk@sample.com
82,1954-11-07,Scorpio,Female,Chocolate Crunch,Pan Dulce,Cerveza Victoria,Yes,Yes,Tijuana,No,hbizvnwt@sample.com
83,1956-04-22,Taurus,Female,Coca Cola,Galletas,Galletas Oreo,Yes,No,Cancún,No,xxanzpjn@sample.com
84,1945-07-16,Cancer,Male,Chocolate Crunch,Cervezas,Ruffles de Queso,Yes,Yes,Puebla,Yes,csnvtkea@sample.com
85,1946-09-04,Virgo,Female,Cigarros,Chocolates,Galletas Oreo,Yes,Yes,Monterrey,No,gimodnjx@sample.com
86,1983-05-04,Taurus,Other,Coca Cola,Pan Dulce,Chocolate Crunch,No,No,CDMX,No,omrdkwwp@sample.com
87,1948-11-17,Scorpio,Male,Cerveza Corona,Café Americano,Coca Cola,No,Yes,Cuernavaca,Yes,jbxhuwby@sample.com
88,1972-03-04,Pisces,Male,Cerveza Tecate Roja,Galletas,Chocolate Crunch,Yes,Yes,Tijuana,Yes,ahhqmfbo@sample.com
89,1947-11-10,Scorpio,Female,Cerveza Corona,Refrescos,Coca Cola,Yes,Yes,CDMX,Yes,uxdwiidc@sample.com
90,1961-07-03,Cancer,Male,Galletas Oreo,Frituras,Galletas Oreo,No,No,Cuernavaca,No,ymknaoth@sample.com
91,1988-12-21,Sagittarius,Female,Café Andatti,Galletas,Gatorade de Naranja,No,No,Cuernavaca,Yes,lwsvifgb@sample.com
92,1973-01-25,Aquarius,Other,Coca Cola,Frituras,Galletas Oreo,No,No,Cuernavaca,Yes,elkszunp@sample.com
93,1974-04-09,Aries,Female,Chocolate Crunch,Café Americano,Galletas Emperador,Yes,Yes,Cancún,No,vzkvaskx@sample.com
94,1971-04-28,Taurus,Male,Chocolate Crunch,Chocolates,Coca Cola,Yes,Yes,CDMX,No,espbekfh@sample.com
95,1985-04-29,Taurus,Other,Cerveza Corona,Frituras,Ruffles de Queso,No,Yes,Guadalajara,No,rblymvid@sample.com
96,1961-05-31,Gemini,Male,Gatorade de Naranja,Café Americano,Chocolate Crunch,No,No,Cancún,No,wukjvpvw@sample.com
97,1959-12-08,Sagittarius,Male,Cigarros,Pan Dulce,Galletas Emperador,No,No,Cancún,Yes,kjibfkez@sample.com
98,1985-02-13,Aquarius,Other,Cerveza Tecate Roja,Frituras,Cigarros,Yes,No,Guadalajara,No,hetwrhij@sample.com
99,1952-01-01,Capricorn,Male,Galletas Emperador,Cervezas,Chocolate Crunch,Yes,No,Puebla,No,iaypvgww@sample.com
100,2003-06-10,Gemini,Male,Coca Cola,Pan Dulce,Cerveza Tecate Roja,Yes,No,Guadalajara,No,fwrvyqeh@sample.com
