UserID,Birthday,ZodiacSign,Gender,FavoriteProduct,FavoriteCategory,SecondFavoriteProduct,StreamingServices,Gambling,FavoriteStore,Travel,Email
50,1966-12-04,Sagittarius,Other,C,Z,G,No,Yes,B1,Yes,ychtkshd@sample.com
51,1973-05-08,Taurus,Female,B,X,H,Yes,No,C4,No,cvxxqsch@sample.com
52,1945-08-23,Virgo,Female,B,Z,H,No,Yes,A1,Yes,jtqtdxva@sample.com
53,1954-06-06,Gemini,Male,D,X,H,Yes,Yes,B2,No,ezbflvxx@sample.com
54,1969-12-18,Sagittarius,Male,B,W,E,Yes,No,C4,No,hkpiquxc@sample.com
55,1969-12-17,Sagittarius,Other,A,W,H,Yes,No,B2,No,kjgaguwt@sample.com
56,1950-02-13,Aquarius,Female,B,Y,G,No,Yes,C2,Yes,cnjffccs@sample.com
57,1966-02-24,Pisces,Female,D,X,F,Yes,No,B2,Yes,breggsrf@sample.com
58,1956-12-27,Capricorn,Male,B,W,E,Yes,Yes,D3,No,qvcrxqxp@sample.com
59,1993-05-31,Gemini,Other,B,Y,G,No,Yes,B1,Yes,ipbimnuh@sample.com
60,1993-07-10,Cancer,Male,A,W,F,Yes,Yes,C2,No,bajiyeql@sample.com
61,1999-11-07,Scorpio,Female,A,W,G,No,No,B1,No,bntofnhe@sample.com
62,1947-08-09,Leo,Male,C,X,E,Yes,Yes,B1,No,gbokmzrq@sample.com
63,1960-09-16,Virgo,Male,B,Y,E,Yes,No,C2,No,jzndhpym@sample.com
64,1983-01-12,Capricorn,Female,C,Z,F,No,Yes,A1,Yes,najrsanh@sample.com
65,1952-02-13,Aquarius,Male,C,Y,G,Yes,Yes,C4,Yes,fduduzgo@sample.com
66,1960-01-02,Capricorn,Male,D,Y,E,No,Yes,D3,No,bpxczxuo@sample.com
67,1991-12-12,Sagittarius,Other,C,W,E,Yes,Yes,B2,No,qgctaqao@sample.com
68,1986-09-13,Virgo,Other,B,X,E,No,No,D3,Yes,hpiswzsp@sample.com
69,1990-09-26,Libra,Other,D,Y,F,Yes,Yes,B2,No,bkbwnheu@sample.com
70,1957-01-17,Capricorn,Female,C,Y,G,No,No,A1,Yes,nmpljdhd@sample.com
71,1983-08-06,Leo,Other,A,Z,E,Yes,Yes,C4,Yes,ydvzesmq@sample.com
72,1961-05-31,Gemini,Other,A,W,E,Yes,No,D3,No,skzsdqng@sample.com
73,1989-11-02,Scorpio,Female,A,X,G,No,No,A1,No,pstxgauv@sample.com
74,1991-07-22,Cancer,Male,D,Y,H,No,No,B2,Yes,vwwcxpgd@sample.com
75,1954-12-31,Capricorn,Male,A,W,H,Yes,No,B2,Yes,rnvxxdrj@sample.com
76,1969-09-05,Virgo,Female,C,Z,H,Yes,Yes,A1,Yes,pgwrjydm@sample.com
77,1993-12-08,Sagittarius,Male,D,Y,H,Yes,Yes,C4,No,hzabeoiw@sample.com
78,1981-12-21,Sagittarius,Other,B,Y,G,No,Yes,D3,No,tlawyzpa@sample.com
79,1967-10-11,Libra,Male,D,Y,G,Yes,Yes,C4,Yes,trdenojr@sample.com
80,1985-08-09,Leo,Other,D,Z,H,No,Yes,B2,No,ontptmaz@sample.com
81,2000-03-08,Pisces,Female,C,Z,G,No,No,C4,Yes,esbwvsnk@sample.com
82,1954-11-07,Scorpio,Female,B,Z,H,Yes,Yes,A1,No,hbizvnwt@sample.com
83,1956-04-22,Taurus,Female,A,Y,E,Yes,No,B2,No,xxanzpjn@sample.com
84,1945-07-16,Cancer,Male,D,X,G,Yes,Yes,B2,Yes,csnvtkea@sample.com
85,1946-09-04,Virgo,Female,C,X,G,Yes,Yes,D3,No,gimodnjx@sample.com
86,1983-05-04,Taurus,Other,B,W,F,No,No,D3,No,omrdkwwp@sample.com
87,1948-11-17,Scorpio,Male,C,W,F,No,Yes,A1,Yes,jbxhuwby@sample.com
88,1972-03-04,Pisces,Male,C,W,E,Yes,Yes,B2,Yes,ahhqmfbo@sample.com
89,1947-11-10,Scorpio,Female,A,Y,H,Yes,Yes,B1,Yes,uxdwiidc@sample.com
90,1961-07-03,Cancer,Male,C,Y,H,No,No,A1,No,ymknaoth@sample.com
91,1988-12-21,Sagittarius,Female,D,W,G,No,No,B2,Yes,lwsvifgb@sample.com
92,1973-01-25,Aquarius,Other,A,Y,H,No,No,A1,Yes,elkszunp@sample.com
93,1974-04-09,Aries,Female,A,Z,H,Yes,Yes,D3,No,vzkvaskx@sample.com
94,1971-04-28,Taurus,Male,C,Y,G,Yes,Yes,A1,No,espbekfh@sample.com
95,1985-04-29,Taurus,Other,A,W,F,No,Yes,B1,No,rblymvid@sample.com
96,1961-05-31,Gemini,Male,A,Z,E,No,No,C4,No,wukjvpvw@sample.com
97,1959-12-08,Sagittarius,Male,C,Y,H,No,No,C4,Yes,kjibfkez@sample.com
98,1985-02-13,Aquarius,Other,A,X,F,Yes,No,C2,No,hetwrhij@sample.com
99,1952-01-01,Capricorn,Male,C,Y,H,Yes,No,C2,No,iaypvgww@sample.com
100,2003-06-10,Gemini,Male,C,Z,F,Yes,No,C4,No,fwrvyqeh@sample.com
